timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715376388229,45458,HTTP Request,200,OK,Thread Group 1-3,text,true,,1154603,118,50,50,https://www.daraz.com.bd/,339,0,251
1715376388630,55972,HTTP Request,200,OK,Thread Group 1-7,text,true,,1154596,118,49,49,https://www.daraz.com.bd/,2712,0,241
1715376388330,58776,HTTP Request,200,OK,Thread Group 1-4,text,true,,1154596,118,48,48,https://www.daraz.com.bd/,301,0,218
1715376392128,56414,HTTP Request,200,OK,Thread Group 1-42,text,true,,1154586,118,47,47,https://www.daraz.com.bd/,1124,0,990
1715376388530,61649,HTTP Request,200,OK,Thread Group 1-6,text,true,,1154568,118,46,46,https://www.daraz.com.bd/,322,0,236
1715376389130,65706,HTTP Request,200,OK,Thread Group 1-12,text,true,,1154582,118,45,45,https://www.daraz.com.bd/,890,0,758
1715376392630,62438,HTTP Request,200,OK,Thread Group 1-47,text,true,,1154604,118,44,44,https://www.daraz.com.bd/,556,0,402
1715376390928,64283,HTTP Request,200,OK,Thread Group 1-30,text,true,,1154572,118,43,43,https://www.daraz.com.bd/,570,0,414
1715376390130,65657,HTTP Request,200,OK,Thread Group 1-22,text,true,,1154572,118,42,42,https://www.daraz.com.bd/,537,0,412
1715376389929,65948,HTTP Request,200,OK,Thread Group 1-20,text,true,,1154618,118,41,41,https://www.daraz.com.bd/,507,0,379
1715376392828,63150,HTTP Request,200,OK,Thread Group 1-49,text,true,,1154567,118,40,40,https://www.daraz.com.bd/,893,0,752
1715376392928,63371,HTTP Request,200,OK,Thread Group 1-50,text,true,,1154557,118,39,39,https://www.daraz.com.bd/,2000,0,1852
1715376388129,69483,HTTP Request,200,OK,Thread Group 1-2,text,true,,1154645,118,38,38,https://www.daraz.com.bd/,616,0,260
1715376388032,69978,HTTP Request,200,OK,Thread Group 1-1,text,true,,1154572,118,37,37,https://www.daraz.com.bd/,447,0,357
1715376392530,65483,HTTP Request,200,OK,Thread Group 1-46,text,true,,1154592,118,37,37,https://www.daraz.com.bd/,1291,0,963
1715376391129,66917,HTTP Request,200,OK,Thread Group 1-32,text,true,,1154584,118,35,35,https://www.daraz.com.bd/,546,0,418
1715376391230,67333,HTTP Request,200,OK,Thread Group 1-33,text,true,,1154603,118,34,34,https://www.daraz.com.bd/,500,0,369
1715376391329,67540,HTTP Request,200,OK,Thread Group 1-34,text,true,,1154562,118,33,33,https://www.daraz.com.bd/,2433,0,2280
1715376389529,69457,HTTP Request,200,OK,Thread Group 1-16,text,true,,1154570,118,32,32,https://www.daraz.com.bd/,524,0,390
1715376392029,67688,HTTP Request,200,OK,Thread Group 1-41,text,true,,1154608,118,31,31,https://www.daraz.com.bd/,1261,0,380
1715376388930,71705,HTTP Request,200,OK,Thread Group 1-10,text,true,,1154572,118,30,30,https://www.daraz.com.bd/,563,0,414
1715376390530,70347,HTTP Request,200,OK,Thread Group 1-26,text,true,,1154570,118,29,29,https://www.daraz.com.bd/,517,0,381
1715376388830,72252,HTTP Request,200,OK,Thread Group 1-9,text,true,,1154570,118,28,28,https://www.daraz.com.bd/,441,0,313
1715376391630,69824,HTTP Request,200,OK,Thread Group 1-37,text,true,,1154560,118,27,27,https://www.daraz.com.bd/,1742,0,1579
1715376391829,70198,HTTP Request,200,OK,Thread Group 1-39,text,true,,1154594,118,26,26,https://www.daraz.com.bd/,516,0,375
1715376392729,70376,HTTP Request,200,OK,Thread Group 1-48,text,true,,1154619,118,25,25,https://www.daraz.com.bd/,1523,0,1392
1715376388731,74410,HTTP Request,200,OK,Thread Group 1-8,text,true,,1154592,118,24,24,https://www.daraz.com.bd/,1011,0,526
1715376389429,74277,HTTP Request,200,OK,Thread Group 1-15,text,true,,1154613,118,23,23,https://www.daraz.com.bd/,582,0,430
1715376389030,75172,HTTP Request,200,OK,Thread Group 1-11,text,true,,1154571,118,22,22,https://www.daraz.com.bd/,519,0,379
1715376390730,73481,HTTP Request,200,OK,Thread Group 1-28,text,true,,1154568,118,21,21,https://www.daraz.com.bd/,502,0,378
1715376390629,73637,HTTP Request,200,OK,Thread Group 1-27,text,true,,1154611,118,20,20,https://www.daraz.com.bd/,1435,0,1304
1715376388431,75976,HTTP Request,200,OK,Thread Group 1-5,text,true,,1154582,118,19,19,https://www.daraz.com.bd/,341,0,258
1715376389629,75233,HTTP Request,200,OK,Thread Group 1-17,text,true,,1154574,118,18,18,https://www.daraz.com.bd/,2195,0,2063
1715376389229,75861,HTTP Request,200,OK,Thread Group 1-13,text,true,,1154572,118,17,17,https://www.daraz.com.bd/,528,0,387
1715376390028,75351,HTTP Request,200,OK,Thread Group 1-21,text,true,,1154570,118,16,16,https://www.daraz.com.bd/,1129,0,976
1715376391529,73906,HTTP Request,200,OK,Thread Group 1-36,text,true,,1154572,118,15,15,https://www.daraz.com.bd/,685,0,393
1715376391428,74363,HTTP Request,200,OK,Thread Group 1-35,text,true,,1154544,118,14,14,https://www.daraz.com.bd/,2195,0,436
1715376391728,74558,HTTP Request,200,OK,Thread Group 1-38,text,true,,1154586,118,13,13,https://www.daraz.com.bd/,5059,0,4914
1715376389828,76500,HTTP Request,200,OK,Thread Group 1-19,text,true,,1154593,118,12,12,https://www.daraz.com.bd/,1610,0,1442
1715376389329,77204,HTTP Request,200,OK,Thread Group 1-14,text,true,,1154584,118,11,11,https://www.daraz.com.bd/,965,0,821
1715376390329,76423,HTTP Request,200,OK,Thread Group 1-24,text,true,,1154571,118,10,10,https://www.daraz.com.bd/,1423,0,902
1715376392228,74767,HTTP Request,200,OK,Thread Group 1-43,text,true,,1154609,118,9,9,https://www.daraz.com.bd/,534,0,396
1715376391028,76012,HTTP Request,200,OK,Thread Group 1-31,text,true,,1154572,118,8,8,https://www.daraz.com.bd/,5846,0,5710
1715376390229,77004,HTTP Request,200,OK,Thread Group 1-23,text,true,,1154616,118,7,7,https://www.daraz.com.bd/,1808,0,1041
1715376392430,75090,HTTP Request,200,OK,Thread Group 1-45,text,true,,1154576,118,6,6,https://www.daraz.com.bd/,3419,0,3291
